medicamento_a_id,medicamento_a_nome,medicamento_b_id,medicamento_b_nome,classificacao_fallback,fonte_fallback,data_fonte_fallback,observacoes_fallback,acao_sugerida,comentario_revisao_clinica
cetamina_cloridrato,Cetamina (Cloridrato),dexmedetomidina,Dexmedetomidina,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
cetamina_cloridrato,Cetamina (Cloridrato),gluconato_calcio,Gluconato de Cálcio,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
ciclofosfamida,Ciclofosfamida,metotrexato_sodico,Metotrexato (Sódico),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
ciclofosfamida,Ciclofosfamida,piperacilina_sodica_tazobactam,Piperacilina (Sódica) + Tazobactam,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
ciclofosfamida,Ciclofosfamida,propofol,Propofol,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
cloreto_calcio,Cloreto de Cálcio,dobutamina_cloridrato,Dobutamina (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
cloreto_calcio,Cloreto de Cálcio,dopamina_cloridrato,Dopamina (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
cloreto_calcio,Cloreto de Cálcio,heparina_sodica,Heparina (Sódica),variavel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
cloreto_calcio,Cloreto de Cálcio,insulina,Insulina,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
cloreto_calcio,Cloreto de Cálcio,vasopressina,Vasopressina,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
cloreto_potassio,Cloreto de Potássio,dexmedetomidina,Dexmedetomidina,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
cloreto_potassio,Cloreto de Potássio,gluconato_calcio,Gluconato de Cálcio,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
cloreto_potassio,Cloreto de Potássio,piperacilina_sodica_tazobactam,Piperacilina (Sódica) + Tazobactam,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,dobutamina_cloridrato,Dobutamina (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,dopamina_cloridrato,Dopamina (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,gluconato_calcio,Gluconato de Cálcio,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,heparina_sodica,Heparina (Sódica),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,isoprenalina_cloridrato,Isoprenalina (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,labetalol_cloridrato,Labetalol (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,levosimendan,Levosimendan,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,manitol,Manitol,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,midazolam_cloridrato,Midazolam (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,morfina_sulfato,Morfina (Sulfato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,noradrenalina_bitartarato,Noradrenalina (Bitartarato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,piperacilina_sodica,Piperacilina (Sódica),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,piperacilina_sodica_tazobactam,Piperacilina (Sódica) + Tazobactam,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,propofol,Propofol,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,remifentanil_cloridrato,Remifentanil (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,rocuronio_brometo,Rocurónio (Brometo),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,sufentanil_citrato,Sufentanil (Citrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dexmedetomidina,Dexmedetomidina,vancomicina_cloridrato,Vancomicina (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dobutamina_cloridrato,Dobutamina (Cloridrato),fosfato_potassio,Fosfato de Potássio,incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dobutamina_cloridrato,Dobutamina (Cloridrato),furosemida,Furosemida,variavel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dobutamina_cloridrato,Dobutamina (Cloridrato),gluconato_calcio,Gluconato de Cálcio,incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
dobutamina_cloridrato,Dobutamina (Cloridrato),piperacilina_sodica_tazobactam,Piperacilina (Sódica) + Tazobactam,incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
gluconato_calcio,Gluconato de Cálcio,heparina_sodica,Heparina (Sódica),incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
gluconato_calcio,Gluconato de Cálcio,insulina,Insulina,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
gluconato_calcio,Gluconato de Cálcio,labetalol_cloridrato,Labetalol (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
gluconato_calcio,Gluconato de Cálcio,midazolam_cloridrato,Midazolam (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
gluconato_calcio,Gluconato de Cálcio,piperacilina_sodica_tazobactam,Piperacilina (Sódica) + Tazobactam,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
gluconato_calcio,Gluconato de Cálcio,propofol,Propofol,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
gluconato_calcio,Gluconato de Cálcio,remifentanil_cloridrato,Remifentanil (Cloridrato),compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
gluconato_calcio,Gluconato de Cálcio,sufentanil_citrato,Sufentanil (Citrato),incompativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
gluconato_calcio,Gluconato de Cálcio,tacrolimus,Tacrolimus,compativel,,,Par presente nos dois sentidos no fallback local.,validar_para_eventual_migracao_ao_supabase,
